feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sulfuricurvum	group	IgE	-0.125233711442834	0.059090651799874	218	8	0.0362078818042786	0.475183894837661
U29.B03	group	IgE	-0.00995494337381468	0.00440063710857638	218	2	0.032563919064175	0.475183894837661
NRL2	group	nE	0.131378691578291	0.0626306729144319	218	6	0.0371456310258333	0.475183894837661
Methylobacterium.Methylorubrum	group	IgE	-0.0919960447603506	0.0432313898463649	218	4	0.0344950868360367	0.475183894837661
Leucobacter	group	IgE	-0.657206484154224	0.318297541842226	218	56	0.0402033479848601	0.501165022824968
Morganella	group	nE	-1.2112126223976	0.591174196966012	218	79	0.041741626696121	0.510733410102467
X.Eubacterium._ventriosum_group	group	IgE	-0.142070926726433	0.0692290657032294	218	8	0.042093412920533	0.510733410102467
Klebsiella	group	IgE	0.832256811499303	0.418720824288257	218	217	0.0484243126329013	0.534240096845751
Morganella	group	IgE	-0.925556001260045	0.46714151559208	218	79	0.0488683419978372	0.534240096845751
Terrisporobacter	group	IgE	-0.495686383541421	0.249018775708436	218	21	0.0483035761847235	0.534240096845751
Plesiomonas	group	IgE	0.336029286328962	0.168448109016078	218	18	0.047416795669412	0.534240096845751
Colidextribacter	group	nE	-0.611256315679392	0.302658223405728	218	36	0.0447247575485203	0.534240096845751
Candidatus_Koribacter	group	nE	-0.281177069298099	0.141181384559864	218	18	0.0481091906962279	0.534240096845751
Catenibacterium	group	nE	0.2778858326839	0.139295923742305	218	22	0.0474521729750326	0.534240096845751
TRA3.20	group	IgE	-0.145315757728631	0.0723082862508666	218	10	0.0460889335482076	0.534240096845751
Chryseobacterium	group	IgE	-0.0963203292703167	0.0487086224331538	218	4	0.0493144704780693	0.534240096845751
Enterococcus	group	nE	-0.881307193368515	0.452655503028217	218	215	0.05288476341683	0.544748164654368
Citrobacter	group	IgE	-1.26063349911318	0.646489561063434	218	104	0.0525670065231367	0.544748164654368
Parasutterella	group	IgE	-0.374891890844166	0.192892490936273	218	33	0.0532775677519108	0.544748164654368
Clostridium_sensu_stricto_18	group	nE	-0.341418060683682	0.174047516416056	218	12	0.0511142890882474	0.544748164654368
Bradymonadaceae	group	IgE	0.168220334658023	0.0862212883015195	218	18	0.0525171046095216	0.544748164654368
Prevotellaceae_UCG.003	group	nE	-0.367414746437566	0.190398354604091	218	25	0.0549683428313646	0.555791021961575
Streptococcus	group	nE	-0.905061616274073	0.475379882558345	218	205	0.0582728697535041	0.566766437277724
Erysipelatoclostridium	group	IgE	-1.00556682483738	0.533739795350677	218	118	0.0610363855529856	0.566766437277724
Haemophilus	group	nE	1.04948241564864	0.547867675477232	218	156	0.0567987505101415	0.566766437277724
Sellimonas	group	nE	0.506028692724096	0.26495967483799	218	14	0.059083897943803	0.566766437277724
Staphylococcus	group	IgE	-0.563675222892958	0.29815892631428	218	74	0.0602408474668107	0.566766437277724
Pelomonas	group	IgE	-0.412173349130169	0.217965914627428	218	32	0.059971928226575	0.566766437277724
Lineage_IIa	group	nE	-0.236008480709494	0.12509449097656	218	13	0.0605695806804495	0.566766437277724
X.Eubacterium._ruminantium_group	group	nE	-0.0772016335897838	0.0404362612668619	218	5	0.0583664757912022	0.566766437277724
X.Eubacterium._siraeum_group	group	IgE	-0.261760958396256	0.141432850407004	218	20	0.0656409007492074	0.591418016651275
Leptotrichia	group	IgE	-0.15407303932447	0.0831122366479597	218	13	0.0653812087725996	0.591418016651275
Chryseobacterium	group	nE	-0.116177318790907	0.0627157073713385	218	4	0.0653475144443634	0.591418016651275
Alistipes	group	nE	-0.644023366929704	0.351023824815836	218	95	0.0679977587306926	0.606646671028728
Bacteroides	group	IgE	0.901849627789041	0.496641984013222	218	217	0.0711417056441446	0.628533515885161
Fictibacillus	group	IgE	-0.372409821696339	0.206352064147675	218	33	0.0725334270694504	0.634667486857691
Desulfovibrio	group	IgE	-0.347084822787578	0.190995107489588	218	22	0.0735730099526633	0.637632752923082
Rahnella1	group	nE	-1.00591250581808	0.561993644612685	218	123	0.0749296573908589	0.64326403986492
Fusicatenibacter	group	IgE	-0.304044213340064	0.17226676443745	218	11	0.0790094637293969	0.647735243186948
Akkermansia	group	nE	-0.67138919650007	0.378746317822102	218	22	0.0777622084550857	0.647735243186948
Granulicatella	group	IgE	-0.385864218067512	0.217414389171748	218	77	0.0776548839529607	0.647735243186948
Atopobium	group	nE	-0.528148593584293	0.298090396650642	218	49	0.0779565109838281	0.647735243186948
Prevotellaceae_NK3B31_group	group	IgE	-0.23166136522514	0.130700319792772	218	23	0.0784828681117408	0.647735243186948
Lachnoanaerobaculum	group	nE	-0.31387154396158	0.178675279203152	218	13	0.0804535582160823	0.653685160505669
Terrimonas	group	IgE	-0.0444623036026206	0.025313424357973	218	2	0.0817006781333588	0.657943514171296
Desulfovibrio	group	nE	-0.468262157220644	0.269305755521218	218	22	0.0848561499517107	0.677360495228568
Hymenobacter	group	IgE	-0.0205466404456259	0.0119866807656795	218	2	0.0890147170208874	0.70437732599137
Subdoligranulum	group	nE	0.203311373725272	0.118813063881067	218	14	0.0909245131805592	0.713287129261284
Bacteroides	group	nE	1.06029533755796	0.63455303629422	218	217	0.0963333612587025	0.7357483302463
Granulicatella	group	nE	-0.469798507574724	0.281317582335721	218	77	0.0964095319790565	0.7357483302463
Lachnospiraceae_UCG.001	group	IgE	-0.145802810912502	0.0864629943296208	218	13	0.094963573606168	0.7357483302463
Solobacterium	group	IgE	0.154653390075588	0.0924716009135557	218	11	0.0970217578346769	0.7357483302463
Subgroup_2	group	nE	-0.245300925355364	0.148785272577754	218	20	0.102749888189116	0.765735468544708
Zoogloea	group	nE	-0.269554803660402	0.165168458491642	218	16	0.104174931050425	0.765735468544708
GKS98_freshwater_group	group	nE	0.141211664076503	0.0866058749892096	218	6	0.105183443481416	0.765735468544708
Marivita	group	IgE	-0.0855480950235855	0.0524488369800648	218	6	0.104597900335786	0.765735468544708
AKAU4049	group	IgE	-0.0836148006419028	0.0509183642652049	218	6	0.102335502068975	0.765735468544708
Parabacteroides	group	IgE	-0.765175266706942	0.476776277742421	218	133	0.110157062369106	0.784943088977404
Subdoligranulum	group	IgE	-0.146313163824189	0.0902400022615351	218	14	0.109898970420874	0.784943088977404
Terrimonas	group	nE	-0.0531831177694632	0.0330772995683003	218	2	0.110409577350668	0.784943088977404
Fusobacterium	group	IgE	-0.317972405028859	0.199203066256235	218	36	0.112380374083258	0.786662618582808
Methylobacterium.Methylorubrum	group	nE	-0.0894719906409313	0.0560628280813586	218	4	0.111982811128241	0.786662618582808
Olsenella	group	IgE	-0.0203535068544736	0.0109131010307724	218	2	0.118045412436842	0.820010116927683
Ruminococcus	group	nE	-0.307357091281413	0.197685154360562	218	31	0.12154377301655	0.837915404886825
Lachnospiraceae_UCG.001	group	nE	-0.175511930458755	0.112740000060933	218	13	0.122552822465846	0.838519311608422
Prevotella	group	IgE	0.528930155416488	0.346594583357661	218	161	0.128821741079595	0.849476698423418
Bilophila	group	nE	-0.438538856991921	0.286907292512933	218	37	0.127871935850943	0.849476698423418
Odoribacter	group	IgE	-0.324759080531494	0.21174983235575	218	58	0.126580981697551	0.849476698423418
Clostridia_UCG.014	group	IgE	-0.200241058803124	0.131196831601715	218	23	0.12851775668511	0.849476698423418
X.Eubacterium._oxidoreducens_group	group	IgE	-0.0281442601839674	0.0183410644853729	218	2	0.126426012221314	0.849476698423418
Klebsiella	group	nE	0.818151013553884	0.540879164154893	218	217	0.131887782358555	0.851190652101314
Ruminococcus	group	IgE	-0.23203964004343	0.153233916798243	218	31	0.13143823165654	0.851190652101314
Erwinia	group	nE	-0.0513497015110099	0.0335069590026808	218	4	0.13101977107908	0.851190652101314
Algoriphagus	group	nE	0.0116680873863231	0.00730253929794446	218	2	0.133597105596283	0.856150465440969
Lachnospira	group	nE	-0.126507839578521	0.0846957287175742	218	7	0.136760902635638	0.867588900120062
Faecalibaculum	group	nE	-0.124098901333705	0.0831071690474363	218	13	0.137288792986032	0.867588900120062
Dechloromonas	group	IgE	-0.114410814072733	0.0768484159037065	218	12	0.139061315662998	0.872729636229847
Faecalitalea	group	IgE	-0.0920350240769453	0.0624726087913857	218	4	0.142179223112931	0.874210088059235
Bradyrhizobium	group	nE	0.112444923416352	0.0762509632630787	218	6	0.141834172854305	0.874210088059235
Gillisia	group	IgE	0.0356316372625385	0.0241179577374324	218	2	0.141243808480026	0.874210088059235
F082	group	IgE	-0.176307478201999	0.120539471763608	218	21	0.145689320734868	0.888470281738047
Kineococcus	group	IgE	-0.0353417507833114	0.0242332694989846	218	2	0.146451145341436	0.888470281738047
Cronobacter	group	IgE	-0.0436080259095971	0.0300114631589492	218	2	0.147674957723011	0.889961665747947
Clostridium_sensu_stricto_18	group	IgE	-0.191922854401447	0.13251344740483	218	12	0.149348842626843	0.891464323492143
Novosphingobium	group	IgE	-0.177866818842078	0.123351474873907	218	21	0.150863193206363	0.891464323492143
CAG.873	group	nE	0.0802665477394726	0.0555569425338285	218	6	0.150052856807804	0.891464323492143
Massilia	group	nE	-0.122683765874933	0.0851628293826262	218	6	0.152348325640582	0.894432105373738
Olsenella	group	nE	0.0350273767736959	0.0244448068777717	218	2	0.156240111493024	0.905246120537744
Pseudobutyrivibrio	group	IgE	-0.106186223303744	0.0746850664747358	218	5	0.156566908565551	0.905246120537744
Actinospica	group	nE	-0.10036352168887	0.070694741823114	218	5	0.157174601148312	0.905246120537744
X.Eubacterium._siraeum_group	group	nE	-0.257208772728116	0.181960259079249	218	20	0.158975866634378	0.906847402132924
Elizabethkingia	group	IgE	-0.0380896378516538	0.026765001926381	218	7	0.159445697078316	0.906847402132924
Flavonifractor	group	IgE	0.816776189920373	0.582543394289332	218	129	0.162382270851615	0.914306417837964
Anaerococcus	group	nE	-0.195341141645719	0.139394631074647	218	14	0.163771369348998	0.914306417837964
Sulfuricurvum	group	nE	-0.108018731976058	0.0769270981107531	218	8	0.162856908740345	0.914306417837964
X.Eubacterium._fissicatena_group	group	IgE	-0.177370044797776	0.127823840311896	218	7	0.166984828801311	0.926562159812154
Woeseia	group	nE	0.0424742924638054	0.0305842785212263	218	2	0.169199750930667	0.932808137430557
Advenella	group	nE	-0.0374366871054789	0.0271287885986783	218	2	0.17016060528953	0.932808137430557
Serratia	group	nE	-0.537804565538377	0.404476861113481	218	217	0.185195908925891	0.950324218579261
Flavonifractor	group	nE	0.986021409787311	0.742555787348899	218	129	0.185710774637738	0.950324218579261
uncultured	group	nE	-0.618347589528727	0.471419992007692	218	160	0.191051689850965	0.950324218579261
Staphylococcus	group	nE	-0.515032660581659	0.380797609009356	218	74	0.177673906978876	0.950324218579261
Bacillus	group	IgE	-0.241392913561439	0.182588693248741	218	24	0.187968510580221	0.950324218579261
Atopobium	group	IgE	-0.313909028517657	0.235982055086762	218	49	0.184880661388508	0.950324218579261
Rikenellaceae_RC9_gut_group	group	nE	0.384850240035719	0.287247045171821	218	69	0.181748506568027	0.950324218579261
Neisseria	group	nE	0.260781666596676	0.195302986271285	218	24	0.183280404474827	0.950324218579261
F082	group	nE	-0.211874346460896	0.156431588186864	218	21	0.177065303908082	0.950324218579261
Christensenellaceae_R.7_group	group	nE	0.196120099852106	0.148287482255863	218	23	0.187412507287225	0.950324218579261
Treponema	group	IgE	0.123511563519984	0.093976321928422	218	11	0.190167356255467	0.950324218579261
Bradyrhizobium	group	IgE	-0.0792157039981096	0.0601391278963542	218	6	0.189206572128116	0.950324218579261
Marivita	group	nE	-0.0905577150882925	0.0675613197053101	218	6	0.181648320101306	0.950324218579261
X.Eubacterium._ruminantium_group	group	IgE	-0.0402357699896989	0.0306135918527032	218	5	0.191109156043961	0.950324218579261
Megamonas	group	IgE	0.0128257637899646	0.00942898582348703	218	1	0.175680595905488	0.950324218579261
NK4A214_group	group	nE	0.0582535715886676	0.0436773223133278	218	5	0.183730970012721	0.950324218579261
Occallatibacter	group	IgE	0.0128225107314549	0.00942825772314668	218	1	0.175765189646964	0.950324218579261
Leptotrichia	group	nE	-0.140332882750273	0.107539442384861	218	13	0.193349551103704	0.956239627741144
Nitriliruptoraceae	group	nE	-0.238162260505396	0.183422640496715	218	24	0.195839404831817	0.963318153497044
Anaerostipes	group	nE	-0.294897579368556	0.231631300511184	218	23	0.204432796883166	0.968926276894174
Dorea	group	nE	0.201060755757254	0.156578110432142	218	7	0.200657815524039	0.968926276894174
Pseudonocardia	group	IgE	-0.32188713808004	0.252469399155144	218	45	0.203874071384578	0.968926276894174
Altererythrobacter	group	nE	-0.22404026206749	0.173969800843578	218	17	0.199219026255342	0.968926276894174
Mycoplasma	group	IgE	-0.175300078259829	0.137481071934401	218	18	0.203701573244431	0.968926276894174
Solobacterium	group	nE	0.154727305343557	0.119580210482582	218	11	0.198059511550326	0.968926276894174
Enterorhabdus	group	IgE	-0.0128847556192335	0.010062336708136	218	1	0.201756779484985	0.968926276894174
Lawsonella	group	nE	-0.0624790259286093	0.049273145397944	218	6	0.206213542790036	0.972302196574783
Eggerthella	group	nE	-0.846799513796689	0.676509236178218	218	122	0.212054189792501	0.987402915174485
Gluconacetobacter	group	IgE	-0.109142298735603	0.0867044379487856	218	13	0.212034394217942	0.987402915174485
Ralstonia	group	IgE	-0.0555730336256652	0.0444589750976589	218	6	0.212671397114504	0.987402915174485
Intestinibacter	group	IgE	-0.468236070829721	0.378377845450002	218	95	0.217460594063709	0.989445702989875
Leucobacter	group	nE	-0.513429721992452	0.413234877742536	218	56	0.215435509089541	0.989445702989875
Cetobacterium	group	nE	-0.43487518700342	0.351488749512222	218	51	0.217416934692088	0.989445702989875
Acetatifactor	group	IgE	-0.0514939837791098	0.0413571594395212	218	6	0.214781680598808	0.989445702989875
Eisenbergiella	group	IgE	0.221596860225601	0.180141365400284	218	11	0.221301588404733	0.998727897168829
Clostridia_UCG.014	group	nE	0.209589586661955	0.171009826395756	218	23	0.221695643107806	0.998727897168829
Escherichia.Shigella	group	nE	0.251888158595022	0.423104474468857	218	218	0.55225935464218	0.9999999946456
Clostridium_sensu_stricto_1	group	nE	0.524087540585792	0.495078314362233	218	218	0.29099199087161	0.9999999946456
Other	group	IgE	-0.337337174931226	0.400598026467414	218	217	0.400771890355265	0.9999999946456
Other	group	nE	-0.266474005012346	0.511354550268056	218	217	0.602832000786752	0.9999999946456
Enterobacter	group	nE	-0.215722046504152	0.438508291075009	218	215	0.623288514320054	0.9999999946456
X.Ruminococcus._gnavus_group	group	IgE	-0.0899446874849927	0.442901457766741	218	191	0.839272692714808	0.9999999946456
X.Ruminococcus._gnavus_group	group	nE	-0.198468900330933	0.567367239293046	218	191	0.726828391414222	0.9999999946456
Citrobacter	group	nE	-0.949960467105921	0.824603303853803	218	104	0.250683596393624	0.9999999946456
Asaia	group	nE	-0.472174123424156	0.453138732159223	218	213	0.298722078558453	0.9999999946456
Parabacteroides	group	nE	0.0655887342279461	0.630793228381745	218	133	0.9172842245481	0.9999999946456
UBA1819	group	nE	-0.383175133221971	0.633354701586538	218	113	0.545829060332845	0.9999999946456
Hungatella	group	nE	0.281244900578352	0.617575682756742	218	118	0.649290906536759	0.9999999946456
Blautia	group	nE	-0.777515723789085	0.699787999060645	218	152	0.267796360106288	0.9999999946456
X.Clostridium._innocuum_group	group	IgE	0.151570437010173	0.572260261316325	218	114	0.791390207214805	0.9999999946456
X.Clostridium._innocuum_group	group	nE	-0.0121732532167093	0.733119112566433	218	114	0.986767482733124	0.9999999946456
Collinsella	group	IgE	-0.0281368457051498	0.481097840472585	218	107	0.953417986415912	0.9999999946456
Collinsella	group	nE	0.582362169034952	0.625852780338933	218	107	0.353164569850736	0.9999999946456
Lachnoclostridium	group	IgE	0.221656639309729	0.477252778114051	218	94	0.6428605577576	0.9999999946456
Lachnoclostridium	group	nE	0.498856266888374	0.615265274441993	218	94	0.418398881859965	0.9999999946456
Pseudomonas	group	nE	-0.395235190645457	0.337141365939275	218	218	0.242389273678469	0.9999999946456
Clostridioides	group	IgE	0.446036032607233	0.558485733740487	218	91	0.425417354493314	0.9999999946456
Clostridioides	group	nE	-0.517874973332425	0.709342591770625	218	91	0.466151984838767	0.9999999946456
Erysipelatoclostridium	group	nE	-0.486191616096824	0.676321812614763	218	118	0.473017963680872	0.9999999946456
Dysgonomonas	group	IgE	-0.329444135040949	0.474662642950432	218	65	0.488397695904366	0.9999999946456
Dysgonomonas	group	nE	-0.435443990479398	0.615407916830355	218	65	0.479992704296433	0.9999999946456
Anaerotruncus	group	IgE	0.349294720446638	0.436624933933525	218	78	0.424656828540294	0.9999999946456
Anaerotruncus	group	nE	-0.0812925492192098	0.564478106440581	218	78	0.885628971181534	0.9999999946456
X.Ruminococcus._torques_group	group	IgE	-0.107636615209044	0.440735730813227	218	80	0.807315108042691	0.9999999946456
X.Ruminococcus._torques_group	group	nE	-0.130923065588603	0.560845069621688	218	80	0.815647012385017	0.9999999946456
Raoultella	group	IgE	-0.346065032628267	0.361252536085461	218	56	0.339768117935496	0.9999999946456
Raoultella	group	nE	-0.164886757687802	0.463291490418758	218	56	0.722344275113415	0.9999999946456
Actinomyces	group	nE	-0.404333553899819	0.495836188626163	218	179	0.415756921951109	0.9999999946456
Incertae_Sedis	group	nE	-0.00276797022739577	0.649348620720395	218	84	0.996602933632816	0.9999999946456
Alistipes	group	IgE	-0.232714865059137	0.271403080030749	218	95	0.39248220968719	0.9999999946456
Acinetobacter	group	nE	-0.182741801513828	0.576022131064561	218	170	0.751369713355736	0.9999999946456
Proteus	group	IgE	0.170861286176309	0.321272775201428	218	42	0.595396813526386	0.9999999946456
Proteus	group	nE	-0.0137155135986329	0.416039921029566	218	42	0.973731851559897	0.9999999946456
Eubacterium	group	IgE	-0.115541616950627	0.325374860494691	218	40	0.722882837091575	0.9999999946456
Eubacterium	group	nE	0.482154963251906	0.416681682116397	218	40	0.248562370936884	0.9999999946456
Intestinibacter	group	nE	-0.260834578305231	0.470094222736301	218	95	0.579804254432577	0.9999999946456
Tyzzerella	group	IgE	0.165972531091335	0.329389448621025	218	26	0.614879366338714	0.9999999946456
Tyzzerella	group	nE	0.00679575422442979	0.419134603239999	218	26	0.98707899214157	0.9999999946456
Comamonas	group	nE	-0.597248080664148	0.548395563727735	218	152	0.277414920787438	0.9999999946456
Eisenbergiella	group	nE	0.124366724461723	0.233661466120713	218	11	0.59541414654861	0.9999999946456
Sellimonas	group	IgE	-0.00805204477614887	0.202011397601214	218	14	0.968294875614587	0.9999999946456
Rothia	group	IgE	0.362212543116748	0.37767745678961	218	89	0.338719366583218	0.9999999946456
Rothia	group	nE	-0.311088895922788	0.481388770087724	218	89	0.518832539802422	0.9999999946456
Roseburia	group	IgE	-0.0163616545310605	0.23065334305399	218	28	0.943514563607042	0.9999999946456
Roseburia	group	nE	0.260539693475217	0.298905111642728	218	28	0.384377820046319	0.9999999946456
Fusicatenibacter	group	nE	-0.188238747203795	0.222366583727745	218	11	0.398221255645272	0.9999999946456
Epulopiscium	group	IgE	-0.182087746496565	0.266737816606987	218	22	0.495640242906511	0.9999999946456
Epulopiscium	group	nE	-0.0887815296211898	0.339748903198353	218	22	0.794140225230076	0.9999999946456
Enterobacteriaceae	group	IgE	-0.229261346733643	0.21027108973452	218	16	0.276875924444905	0.9999999946456
Enterobacteriaceae	group	nE	0.0184661371296029	0.27280978453999	218	16	0.946099170614234	0.9999999946456
Akkermansia	group	IgE	-0.130049520778208	0.297948303749325	218	22	0.662937640294943	0.9999999946456
Faecalibacterium	group	IgE	-0.312183965537133	0.310182589315468	218	71	0.315377650998442	0.9999999946456
Faecalibacterium	group	nE	-0.00586007225174917	0.394642009787553	218	71	0.988166805378956	0.9999999946456
Lachnospiraceae_NK4A136_group	group	IgE	-0.329948258755555	0.321379320183123	218	105	0.305737190281535	0.9999999946456
Lachnospiraceae_NK4A136_group	group	nE	-0.453262349489494	0.416467663618151	218	105	0.277679874443205	0.9999999946456
Kosakonia	group	IgE	1.27965648234672e-09	6.95392936803638e-06	218	5	0.999853436186102	0.9999999946456
Kosakonia	group	nE	1.19571933266431e-09	1.0521063145215e-05	218	5	0.999909482352655	0.9999999946456
Anaerostipes	group	IgE	-0.172506539163746	0.179373204686998	218	23	0.337322198658502	0.9999999946456
X.Eubacterium._coprostanoligenes_group	group	IgE	0.0722837324189776	0.302785503051605	218	69	0.811578846962848	0.9999999946456
X.Eubacterium._coprostanoligenes_group	group	nE	-0.1650290486118	0.390976988747334	218	69	0.673386870739821	0.9999999946456
Butyricimonas	group	IgE	-2.31895714113396e-13	1.5073498803946e-07	218	3	0.99999897544568	0.9999999946456
Butyricimonas	group	nE	-3.99342482664266e-13	2.02183677127752e-07	218	3	0.999998684606292	0.9999999946456
