feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Halomonas	group	IgE	0.444806281117969	0.1830280203143	114	18	0.0167380010619197	0.284777427413747
Mogibacterium	group	IgE	0.198957812937648	0.0690289060965703	114	7	0.0186265252205288	0.301676663375624
Lineage_IIa	group	nE	0.570802447719747	0.23980130915032	114	7	0.0190279192471306	0.302251178810189
Escherichia.Shigella	group	nE	-2.28017969112923	0.962494991056583	114	114	0.0199423009538078	0.310446126960048
Eubacterium	group	IgE	0.538986717477701	0.224816415285215	114	14	0.0202955095107053	0.310446126960048
Serratia	group	IgE	0.739625098682633	0.324888854521094	114	114	0.0247465067736944	0.365010974911992
Nitriliruptoraceae	group	IgE	0.227029696156789	0.0969228844284239	114	12	0.0245085397468729	0.365010974911992
UBA1819	group	IgE	1.26284784130743	0.556808338504719	114	55	0.0254151566440131	0.368296831367628
Pseudonocardia	group	nE	1.2757750795956	0.568851919938473	114	21	0.0269013089323886	0.383111744450913
Clostridia_UCG.014	group	IgE	0.368539421317075	0.165564981396774	114	14	0.0282074078078127	0.392984383649291
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	group	IgE	0.143868477027975	0.0647861474326501	114	5	0.0285460811367524	0.392984383649291
Acinetobacter	group	IgE	0.875746523038899	0.396993516430471	114	78	0.0294917416086533	0.398063867471731
Fusobacterium	group	IgE	-0.602019638753443	0.263530856959659	114	19	0.0298788859361348	0.398063867471731
Clostridium_sensu_stricto_13	group	IgE	0.320976415511076	0.146520315402365	114	4	0.0306557595296493	0.401931069388735
Clostridioides	group	IgE	-1.13923587465864	0.536975519923262	114	36	0.0362567612520545	0.467938824909328
Halomonas	group	nE	0.937903359765594	0.448251534764648	114	18	0.0387823181522129	0.492833766057352
Bifidobacterium	group	nE	2.11112923361063	1.01967335080524	114	114	0.0407349724836789	0.50980435259877
Acinetobacter	group	nE	1.9399502757702	0.969656632743477	114	78	0.0479067848066376	0.55733808803215
Lachnospiraceae_NK4A136_group	group	nE	1.56798222009805	0.780609750306163	114	57	0.0470336133356073	0.55733808803215
Prevotellaceae_NK3B31_group	group	nE	0.732279754771186	0.36272831957008	114	10	0.0466279700498653	0.55733808803215
Faecalibaculum	group	IgE	-0.0896358030026097	0.0362803115549682	114	9	0.0458153913167143	0.55733808803215
Subgroup_10	group	nE	0.402880835778128	0.157584300526196	114	4	0.0473365545788189	0.55733808803215
Serratia	group	nE	1.56396612172522	0.789139949599109	114	114	0.049982424094551	0.561726323089329
Helicobacter	group	IgE	0.398004851835522	0.195314038158419	114	26	0.049532433418059	0.561726323089329
TRA3.20	group	IgE	0.0803017049760732	0.0394810649187254	114	6	0.0503241500104242	0.561726323089329
Aquitalea	group	IgE	-0.0519073206140391	0.0247090909311987	114	2	0.0514719839875412	0.566878116982787
Varibaculum	group	IgE	-0.435140260749481	0.223310352423085	114	12	0.0562765440278163	0.611637175881267
Oribacterium	group	IgE	-0.0961083204783253	0.0505212866261093	114	2	0.0615221489419475	0.659964870468164
GOUTB8	group	IgE	0.0865967028381361	0.046664764822692	114	4	0.066582051562295	0.705086853723791
IMCC26256	group	IgE	0.0618689947686917	0.0335515392565258	114	2	0.0686501973958652	0.717785608214996
Rikenella	group	nE	-0.655223964663551	0.353673148941211	114	11	0.0709893469083483	0.732965006828696
Morganella	group	IgE	-0.904622036544454	0.456005130790415	114	38	0.0749268202797548	0.747316424744115
Lachnoanaerobaculum	group	nE	0.552139286647622	0.307475974947354	114	11	0.0768746082462527	0.747316424744115
Methylophaga	group	IgE	-0.0866884803733207	0.0441808919950436	114	7	0.0769030219167673	0.747316424744115
Leptotrichia	group	IgE	0.236617550566143	0.128966882645143	114	6	0.0754713636081869	0.747316424744115
Allobaculum	group	IgE	0.0711296397611405	0.039353047837212	114	2	0.07580951624605	0.747316424744115
Asaia	group	IgE	0.640564158711571	0.361607051497399	114	111	0.0792593874785003	0.761258768107456
Haemophilus	group	IgE	-0.921954546154252	0.524680946260674	114	81	0.081856775720544	0.777168928105395
Asaia	group	nE	1.54085164770903	0.879621605818712	114	111	0.0828016430618138	0.77720633146657
Kosakonia	group	IgE	0.280759626129208	0.1583652892164	114	6	0.0846353793191627	0.785492396827285
Bacillus	group	IgE	0.330869774869674	0.191648576018758	114	9	0.0886645501160778	0.813743537732002
Clostridia_UCG.014	group	nE	0.691370800492312	0.405311617426952	114	14	0.0908988162273903	0.825081562679388
Stenotrophomonas	group	IgE	0.548583184680228	0.327494503356937	114	23	0.0967504210078298	0.855566087748119
Pelomonas	group	nE	0.7659394982735	0.460529691766364	114	17	0.0991057484238735	0.855566087748119
Prevotellaceae_NK3B31_group	group	IgE	0.252967489097095	0.151969073930828	114	10	0.0994362523290793	0.855566087748119
Aggregatibacter	group	IgE	0.171855561066577	0.102369958078659	114	3	0.0961323204726023	0.855566087748119
Mucispirillum	group	nE	-0.332530808349858	0.196820764488518	114	8	0.0981448675809239	0.855566087748119
Epulopiscium	group	IgE	-0.609627698616147	0.374559970099694	114	11	0.108121410326418	0.917526170205645
Atopobium	group	IgE	0.450199102728111	0.278352346056845	114	25	0.108859037143043	0.917526170205645
Lachnospiraceae_UCG.001	group	IgE	0.182746799224778	0.112924972432051	114	6	0.110817445687938	0.922134964564991
Mesorhizobium	group	nE	0.200046352482999	0.0389953654972992	114	1	0.111638615564769	0.922134964564991
Actinomyces	group	nE	2.00865318458012	1.26443412647355	114	88	0.115268196065415	0.942688415346861
Parabacteroides	group	IgE	1.17659440245523	0.74728224718415	114	66	0.118978736022375	0.962562685095142
Eggerthella	group	IgE	0.995321985663917	0.637609184570664	114	64	0.121452043447874	0.962562685095142
Raoultella	group	IgE	0.776534657654736	0.501122700370951	114	27	0.126436024776455	0.962562685095142
Eubacterium	group	nE	-0.768854511531052	0.490016364688832	114	14	0.124520850899779	0.962562685095142
Dorea	group	IgE	-0.161656127388725	0.103455498967707	114	5	0.128101063441272	0.962562685095142
Veillonella	group	IgE	0.64183846467597	0.418853052373512	114	40	0.128759153902263	0.962562685095142
Alloprevotella	group	nE	1.21629522292462	0.775220052506691	114	41	0.122311427576576	0.962562685095142
Rikenella	group	IgE	0.230020390437272	0.149742061343883	114	11	0.129351644122955	0.962562685095142
Bryobacter	group	IgE	0.189393728718517	0.123224445045952	114	6	0.12739730752095	0.962562685095142
Ileibacterium	group	IgE	-0.0858338254790127	0.0557454735794619	114	4	0.126527125649807	0.962562685095142
Pelomonas	group	IgE	0.289703679611549	0.190292643285351	114	17	0.130773820619794	0.964456927070981
Desulfovibrio	group	IgE	0.173827366262719	0.115279551354791	114	12	0.134851285811619	0.98572709805661
Klebsiella	group	IgE	0.447402522894841	0.517160398531531	114	114	0.388902874581297	0.99999999881493
Klebsiella	group	nE	-1.37307881947676	1.26961246683509	114	114	0.281851099465647	0.99999999881493
Bacteroides	group	IgE	0.0270060753876102	0.651571381760378	114	111	0.967014650250275	0.99999999881493
Bacteroides	group	nE	-0.990699911171685	1.58710795846255	114	111	0.533856159922371	0.99999999881493
Clostridium_sensu_stricto_1	group	IgE	-0.535652677968604	0.575589271615546	114	113	0.354076399786928	0.99999999881493
Clostridium_sensu_stricto_1	group	nE	-1.03868289243978	1.40815083086435	114	113	0.462391841270589	0.99999999881493
Other	group	IgE	0.0771284301568298	0.400315451678083	114	112	0.885223269504936	0.99999999881493
Other	group	nE	-0.858419520661738	1.26740953450995	114	112	0.500561073759228	0.99999999881493
Enterobacter	group	IgE	0.292824312067785	0.43958321922996	114	113	0.506784925713657	0.99999999881493
Enterobacter	group	nE	-1.20873760934954	1.07311859909991	114	113	0.263107115603882	0.99999999881493
Enterococcus	group	nE	1.12330947297279	1.09054334275707	114	112	0.305300144785575	0.99999999881493
X.Ruminococcus._gnavus_group	group	IgE	0.693437200178903	0.658241663063542	114	96	0.294524984540906	0.99999999881493
X.Ruminococcus._gnavus_group	group	nE	-1.92883464158785	1.61000121255856	114	96	0.23373954532404	0.99999999881493
Citrobacter	group	IgE	0.72138473316021	0.665320309364473	114	56	0.280902597733646	0.99999999881493
Citrobacter	group	nE	0.197562843942935	1.64370028607857	114	56	0.904556722981079	0.99999999881493
Parabacteroides	group	nE	-0.511024031727316	1.81512985994	114	66	0.778996683285507	0.99999999881493
Streptococcus	group	nE	0.272849682051464	1.18128240475947	114	107	0.817769818136515	0.99999999881493
UBA1819	group	nE	-1.63047902896061	1.3575798460004	114	55	0.232346460727693	0.99999999881493
Hungatella	group	IgE	-0.277859041067421	0.565289293332128	114	56	0.624135163803527	0.99999999881493
Hungatella	group	nE	-1.32509644772949	1.35983065010138	114	56	0.332541837747866	0.99999999881493
Flavonifractor	group	IgE	-0.0565675479364728	0.615909105584739	114	72	0.926989612998216	0.99999999881493
Flavonifractor	group	nE	-1.20043655504771	1.49840373233398	114	72	0.424789401742078	0.99999999881493
Blautia	group	IgE	-0.11030268523293	0.726627581650006	114	58	0.879633922216775	0.99999999881493
Blautia	group	nE	0.566707370211823	1.76573240153658	114	58	0.748892585867645	0.99999999881493
X.Clostridium._innocuum_group	group	IgE	0.273575714229206	0.60391286716784	114	64	0.651752099976725	0.99999999881493
X.Clostridium._innocuum_group	group	nE	-1.54744176961083	1.52197871301214	114	64	0.311600479596435	0.99999999881493
Collinsella	group	IgE	0.209145754621577	0.45837601303505	114	51	0.649714408947931	0.99999999881493
Collinsella	group	nE	-1.40175143258911	1.21312176407493	114	51	0.250817961415803	0.99999999881493
Lachnoclostridium	group	IgE	0.44874645304663	0.598135933065981	114	55	0.455024379663631	0.99999999881493
Lachnoclostridium	group	nE	-0.419810936436503	1.4912320683962	114	55	0.778968218414078	0.99999999881493
Pseudomonas	group	nE	0.490494061488009	0.668434071564077	114	113	0.464742749487235	0.99999999881493
Clostridioides	group	nE	-1.04776915627428	1.58485250976653	114	36	0.510044270987239	0.99999999881493
Erysipelatoclostridium	group	IgE	0.387961308666815	0.657269470787603	114	61	0.556225006592175	0.99999999881493
Erysipelatoclostridium	group	nE	0.60859195466053	1.60630484765711	114	61	0.705509012427929	0.99999999881493
Haemophilus	group	nE	0.222820263026369	1.30426119287159	114	81	0.864679765777591	0.99999999881493
Dysgonomonas	group	IgE	-0.523155282501107	0.426869158945599	114	26	0.223133317599328	0.99999999881493
Dysgonomonas	group	nE	-1.23200883245949	1.0316447005948	114	26	0.235044171183329	0.99999999881493
Anaerotruncus	group	IgE	0.408984469040947	0.319443754546787	114	30	0.203141759280294	0.99999999881493
Anaerotruncus	group	nE	-0.551241529646003	0.776801958962617	114	30	0.479482758457493	0.99999999881493
Morganella	group	nE	-1.03945639057568	1.23453494563136	114	38	0.405306871245682	0.99999999881493
X.Ruminococcus._torques_group	group	IgE	0.741405285392953	0.648557607057074	114	48	0.255834982895855	0.99999999881493
X.Ruminococcus._torques_group	group	nE	0.602958409250331	1.59813288137166	114	48	0.706696724114223	0.99999999881493
Eggerthella	group	nE	0.137057962294913	1.55624200648248	114	64	0.929988593223613	0.99999999881493
Prevotella	group	nE	-0.280784428567467	1.09295092885022	114	86	0.798057585814723	0.99999999881493
Raoultella	group	nE	-0.908591221583595	1.21992249439108	114	27	0.458120336392014	0.99999999881493
Incertae_Sedis	group	IgE	0.781188129944893	0.560756206135078	114	37	0.16638769287596	0.99999999881493
Incertae_Sedis	group	nE	-0.790468217060759	1.36225817158342	114	37	0.562930805754899	0.99999999881493
Alistipes	group	IgE	-0.426481884367668	0.443477860288387	114	45	0.340109996249951	0.99999999881493
Alistipes	group	nE	-0.000426943398684765	1.12466265709797	114	45	0.999697884954128	0.99999999881493
Proteus	group	IgE	-0.22693657318319	0.451823096357535	114	27	0.616567443418015	0.99999999881493
Proteus	group	nE	-0.604784385278001	1.1048683113743	114	27	0.585259315989396	0.99999999881493
Muribaculaceae	group	IgE	0.326198950646938	0.381550420622918	114	101	0.394531187434967	0.99999999881493
Muribaculaceae	group	nE	0.90883558779368	0.952023558415654	114	101	0.341892042988928	0.99999999881493
Intestinibacter	group	nE	-1.35874071602409	1.08729031432421	114	48	0.214167743764684	0.99999999881493
Tyzzerella	group	IgE	-6.2469721893952e-13	1.08112451900815e-06	114	12	0.999999558898129	0.99999999881493
Tyzzerella	group	nE	1.23761507696533	1.11833827070051	114	12	0.322885474486154	0.99999999881493
Eisenbergiella	group	IgE	-1.45167940127136e-12	4.80783235801169e-07	114	5	0.999997876734921	0.99999999881493
Eisenbergiella	group	nE	-0.216027384459536	0.496538391983889	114	5	0.712426270313024	0.99999999881493
Sellimonas	group	IgE	0.156239454227738	0.2733833595771	114	11	0.568930725716412	0.99999999881493
Sellimonas	group	nE	0.0213411191160719	0.680039575950146	114	11	0.975027498769301	0.99999999881493
Rothia	group	IgE	0.63773454905654	0.448799736035253	114	57	0.16001306470669	0.99999999881493
Roseburia	group	IgE	-2.0925108308688e-05	0.00431964445137569	114	6	0.999486565055102	0.99999999881493
Roseburia	group	nE	0.196997360065667	0.193746176197153	114	6	0.334549839977732	0.99999999881493
Fusicatenibacter	group	IgE	5.16891879693524e-12	3.20168776590894e-06	114	4	0.999998737292914	0.99999999881493
Fusicatenibacter	group	nE	-6.9917762086594e-11	1.02919862437343e-05	114	4	0.999994686628198	0.99999999881493
uncultured	group	IgE	0.653905249848684	0.456290308973196	114	70	0.155227053268861	0.99999999881493
uncultured	group	nE	0.705097755984336	1.14541900220807	114	70	0.539661332159405	0.99999999881493
Epulopiscium	group	nE	-0.20248797239224	0.903620837649916	114	11	0.823452858775304	0.99999999881493
Enterobacteriaceae	group	IgE	-7.27643616610771e-11	1.018730083983e-05	114	11	0.999994303873949	0.99999999881493
Enterobacteriaceae	group	nE	1.16023978136879	0.799130464201695	114	11	0.147005714100919	0.99999999881493
Akkermansia	group	IgE	5.44559760153511e-14	1.60091635706583e-07	114	7	0.999999838351769	0.99999999881493
Faecalibacterium	group	IgE	0.161129138513593	0.380352196242189	114	34	0.672678615333591	0.99999999881493
Faecalibacterium	group	nE	-0.0888990733052184	0.934225763490782	114	34	0.924366956250398	0.99999999881493
Lachnospiraceae_NK4A136_group	group	IgE	0.0394231984407916	0.319345674155814	114	57	0.901998938008848	0.99999999881493
Kosakonia	group	nE	-0.104931238937819	0.513253233439109	114	6	0.838440673322105	0.99999999881493
Anaerostipes	group	IgE	-0.00310916628464748	0.0458835014162522	114	9	0.947015800562368	0.99999999881493
Anaerostipes	group	nE	0.342691686602136	0.221558088513667	114	9	0.143253519299248	0.99999999881493
X.Eubacterium._coprostanoligenes_group	group	IgE	0.456533269306825	0.347021213741681	114	29	0.191039294564115	0.99999999881493
X.Eubacterium._coprostanoligenes_group	group	nE	0.448216968283658	0.851971040048332	114	29	0.599900844562692	0.99999999881493
Butyricimonas	group	IgE	1.0629687325384e-12	3.52882374248873e-07	114	4	0.999998071713693	0.99999999881493
Butyricimonas	group	nE	-0.1791571006881	0.453407972734534	114	4	0.759100381970958	0.99999999881493
Dorea	group	nE	-0.198779099723892	0.291675069492323	114	5	0.498715741660589	0.99999999881493
Veillonella	group	nE	-0.612679819093979	1.01491996490698	114	40	0.547660003335883	0.99999999881493
Desulfovibrio	group	nE	-0.249682851203796	0.286290914643832	114	12	0.385227337902195	0.99999999881493
Robinsoniella	group	IgE	0.0209852021392593	0.156227785804288	114	5	0.893431772970461	0.99999999881493
Robinsoniella	group	nE	-0.0813397033437937	0.380966068489236	114	5	0.831326235977105	0.99999999881493
X.Eubacterium._hallii_group	group	IgE	0.0507844373872067	0.0671945169713566	114	5	0.452947741913243	0.99999999881493
X.Eubacterium._hallii_group	group	nE	-0.00716555374247152	0.179931426678006	114	5	0.968321690140105	0.99999999881493
Butyricicoccus	group	IgE	0.2863462996572	0.317916954384993	114	12	0.370203128437293	0.99999999881493
Butyricicoccus	group	nE	-0.31219917650068	0.791907106489188	114	12	0.694204866971413	0.99999999881493
Stenotrophomonas	group	nE	0.0409884141670695	0.799136181281466	114	23	0.959187166132395	0.99999999881493
Terrisporobacter	group	IgE	-0.125888792062305	0.210706889622259	114	10	0.551434745799861	0.99999999881493
Terrisporobacter	group	nE	0.284044990458179	0.516318512118958	114	10	0.58336015771954	0.99999999881493
Hafnia.Obesumbacterium	group	IgE	1.67100308884894e-13	3.10335894609712e-08	114	1	0.999999082553998	0.99999999881493
Hafnia.Obesumbacterium	group	nE	-3.22143603033918e-14	6.61832205278578e-08	114	1	0.999999917104577	0.99999999881493
Granulicatella	group	IgE	0.375943952756451	0.299382893497878	114	44	0.212399834150342	0.99999999881493
Clostridium_sensu_stricto_2	group	IgE	-8.58183635082185e-14	4.16640040377588e-08	114	1	0.999999528109914	0.99999999881493
Clostridium_sensu_stricto_2	group	nE	-3.110611351067e-14	8.43346049615451e-08	114	1	0.999999915501152	0.99999999881493
Pygmaiobacter	group	IgE	4.7039884081283e-13	3.08838866683849e-07	114	4	0.999999053966933	0.99999999881493
Pygmaiobacter	group	nE	0.0318659917701881	0.391148686683342	114	4	0.949517877560122	0.99999999881493
Clostridium_sensu_stricto_13	group	nE	-0.117123446440216	0.360359386917671	114	4	0.745814946855037	0.99999999881493
Leucobacter	group	IgE	0.298633489391788	0.26987975914637	114	23	0.270893327254803	0.99999999881493
Sutterella	group	IgE	8.89847621527143e-09	0.000101937255610168	114	4	0.999931644792938	0.99999999881493
Sutterella	group	nE	-0.499201300573842	0.403732260071269	114	4	0.219090789734657	0.99999999881493
Coprobacillus	group	IgE	-0.155050439785777	0.120365238825915	114	10	0.239998972695091	0.99999999881493
Coprobacillus	group	nE	-0.0111025450597463	0.370117815619246	114	10	0.977036463393969	0.99999999881493
Staphylococcus	group	nE	0.19817670372656	0.922094631261083	114	45	0.830310602409543	0.99999999881493
Kluyvera	group	IgE	-1.49677372385113e-11	1.83698661741155e-06	114	4	0.999993678925551	0.99999999881493
Kluyvera	group	nE	-0.154179337463645	0.331672309628117	114	4	0.65449825840092	0.99999999881493
Romboutsia	group	IgE	-3.65985573459644e-11	1.83657342625415e-06	114	13	0.999984588136076	0.99999999881493
Romboutsia	group	nE	0.268324112127528	0.485700023977889	114	13	0.596663475392332	0.99999999881493
Varibaculum	group	nE	-0.573803641637091	0.56429483288526	114	12	0.311608375566992	0.99999999881493
Plesiomonas	group	IgE	0.048889607035468	0.0841436923544371	114	7	0.56245765421527	0.99999999881493
Plesiomonas	group	nE	0.215481077310361	0.226358662370168	114	7	0.344236120540565	0.99999999881493
Faecalitalea	group	IgE	-1.0573561730884e-05	0.000475452394418292	114	4	0.984916918820412	0.99999999881493
Faecalitalea	group	nE	-0.00206899384480034	0.069499198359664	114	4	0.976338453046337	0.99999999881493
X.Clostridium._methylpentosum_group	group	IgE	-2.90273625619942e-07	0.000105208833422112	114	4	0.997974335360208	0.99999999881493
X.Clostridium._methylpentosum_group	group	nE	-1.79694631829199e-07	0.000265095869419089	114	4	0.999502325528142	0.99999999881493
Intestinimonas	group	IgE	0.00246015688756082	0.0795693474181895	114	2	0.976777127495088	0.99999999881493
Intestinimonas	group	nE	0.032791183320337	0.246227467048445	114	2	0.894388366758194	0.99999999881493
Gordonibacter	group	IgE	0.237729564372784	0.242852376139688	114	10	0.330147449721456	0.99999999881493
Gordonibacter	group	nE	-0.172478571946555	0.603980862574053	114	10	0.775820670946471	0.99999999881493
Paraprevotella	group	IgE	3.64259614729696e-11	2.32660073054415e-06	114	2	0.999987525525624	0.99999999881493
Paraprevotella	group	nE	-2.48968815204167e-10	6.84611370260318e-06	114	2	0.999971024300025	0.99999999881493
Peptostreptococcus	group	IgE	-1.27817658311368e-13	5.24795201944646e-08	114	1	0.999999322787989	0.99999999881493
Peptostreptococcus	group	nE	-6.77656325088682e-14	1.05963478732723e-07	114	1	0.999999822181501	0.99999999881493
Subdoligranulum	group	IgE	0.127453511946773	0.0931524304593936	114	5	0.174283190480844	0.99999999881493
Subdoligranulum	group	nE	-0.0805452038332492	0.228051522921497	114	5	0.724705228257444	0.99999999881493
Fusobacterium	group	nE	-0.188011699250435	0.737246839960391	114	19	0.799330557646004	0.99999999881493
Negativicoccus	group	IgE	-1.04121504517096e-13	2.02661708421689e-07	114	7	0.999999724898666	0.99999999881493
Negativicoccus	group	nE	-0.344221667637699	0.574694429787191	114	7	0.746399597423015	0.99999999881493
Bilophila	group	IgE	-0.140634967708937	0.121501101608373	114	12	0.261487196569246	0.99999999881493
Bilophila	group	nE	-0.442400239370785	0.467849593507623	114	12	0.346903233271544	0.99999999881493
Cetobacterium	group	IgE	0.00614186425230712	0.295464019585078	114	21	0.983455538869437	0.99999999881493
Cetobacterium	group	nE	-0.161437252530702	0.739455594859892	114	21	0.827628844985792	0.99999999881493
Aeromonas	group	IgE	0.0483917146024257	0.116504366286189	114	9	0.680684321553818	0.99999999881493
Aeromonas	group	nE	-0.20342458699387	0.475422575059816	114	9	0.669683239068574	0.99999999881493
Paenibacillus	group	IgE	8.74426429328191e-14	1.99670448783081e-07	114	6	0.999999768562432	0.99999999881493
Paenibacillus	group	nE	-3.67736959510784e-13	6.48379167975915e-07	114	6	0.999999700328384	0.99999999881493
X.Eubacterium._fissicatena_group	group	IgE	3.14966765601173e-11	1.12594414346357e-06	114	4	0.999978974634415	0.99999999881493
X.Eubacterium._fissicatena_group	group	nE	-5.16730097740264e-11	2.83649479865439e-06	114	4	0.999986307773014	0.99999999881493
Bacillus	group	nE	0.229499277024653	0.478250507392415	114	9	0.632320328820453	0.99999999881493
Prevotellaceae_UCG.001	group	IgE	0.194494285403864	0.266326334713191	114	40	0.466787535782483	0.99999999881493
Prevotellaceae_UCG.001	group	nE	0.711416430938785	0.648874853823921	114	40	0.275332224498187	0.99999999881493
Alloprevotella	group	IgE	0.0644367494420678	0.327486539058827	114	41	0.844464676312434	0.99999999881493
Atopobium	group	nE	0.231140402501385	0.68877167117461	114	25	0.737852683320568	0.99999999881493
Pseudonocardia	group	IgE	0.206924110984236	0.234283723086352	114	21	0.379026202676913	0.99999999881493
Colidextribacter	group	IgE	0.139752251667454	0.150053309545647	114	15	0.353961040885986	0.99999999881493
Colidextribacter	group	nE	0.438445969289279	0.371799899845984	114	15	0.241121755958758	0.99999999881493
Parasutterella	group	IgE	-0.0537638795571547	0.140597323555119	114	9	0.703401730630679	0.99999999881493
Paeniclostridium	group	IgE	-0.0225385310089451	0.03226548905442	114	2	0.488746776645985	0.99999999881493
Aliifodinibius	group	IgE	-0.0178554057892829	0.229235907397051	114	15	0.938069515720733	0.99999999881493
Aliifodinibius	group	nE	0.743815030237053	0.557031701967178	114	15	0.184574222662624	0.99999999881493
Dialister	group	IgE	-0.00632789827543283	0.29273966298371	114	31	0.982793611321155	0.99999999881493
Dialister	group	nE	-0.895247556800639	0.709810512107686	114	31	0.209883478744893	0.99999999881493
